datasetSize;arrayType;sortType;time
1900;2;5;173037
1900;3;5;13825248
2000;0;5;8877067
2000;1;5;7679153
2000;2;5;191495
2000;3;5;15290970
2100;0;5;9826902
2100;1;5;8442894
2100;2;5;188748
2100;3;5;16904015
2200;0;5;10747038
2200;1;5;9231973
2200;2;5;195739
2200;3;5;18311760
2300;0;5;11695533
2300;1;5;10053717
2300;2;5;203108
2300;3;5;20260480
2400;0;5;11774783
2400;1;5;10388327
2400;2;5;219284
2400;3;5;22043492
2500;0;5;13608109
2500;1;5;11898244
2500;2;5;241416
2500;3;5;32690804
2600;0;5;14410582
2600;1;5;12521339
2600;2;5;215210
2600;3;5;25017848
2700;0;5;16199231
2700;1;5;14121525
2700;2;5;264830
2700;3;5;28055456
2800;0;5;17483052
2800;1;5;15090784
2800;2;5;270244
2800;3;5;29645750
2900;0;5;18633705
2900;1;5;16211088
2900;2;5;314377
2900;3;5;31489474
3000;0;5;19890540
3000;1;5;16688636
3000;2;5;334070
3000;3;5;34062666
3100;0;5;21469674
3100;1;5;18071176
3100;2;5;344712
3100;3;5;36266489
3200;0;5;22990496
3200;1;5;19778530
3200;2;5;349538
3200;3;5;38249821
3300;0;5;23115475
3300;1;5;20954246
3300;2;5;362561
3300;3;5;40939101
3400;0;5;25898666
3400;1;5;22323308
3400;2;5;360180
3400;3;5;43214279
3500;0;5;27453428
3500;1;5;23716034
3500;2;5;378123
3500;3;5;46391937
3600;0;5;28839411
3600;1;5;24781913
3600;2;5;384801
3600;3;5;48651846
3700;0;5;29999760
3700;1;5;26329525
3700;2;5;408988
3700;3;5;51953140
3800;0;5;31660322
3800;1;5;26477701
3800;2;5;416806
3800;3;5;52973899
3900;0;5;33256201
3900;1;5;29181560
3900;2;5;452243
3900;3;5;56898134
4000;0;5;35193593
4000;1;5;30416273
4000;2;5;458406
4000;3;5;60788555
4100;0;5;36800308
4100;1;5;31703932
4100;2;5;3516461
4100;3;5;62704596
50;0;6;36433
50;1;6;35441
50;2;6;35510
50;3;6;35161
100;0;6;48606
100;1;6;44588
100;2;6;38837
100;3;6;35940
150;0;6;54857
150;1;6;48498
150;2;6;37776
150;3;6;40824
200;0;6;38878
200;1;6;41458
200;2;6;39282
200;3;6;37766
250;0;6;40174
250;1;6;40283
250;2;6;40471
250;3;6;39455
300;0;6;40843
300;1;6;41515
300;2;6;39932
300;3;6;41428
100;0;6;36592
100;1;6;36488
100;2;6;36118
100;3;6;36284
200;0;6;39018
200;1;6;39581
200;2;6;38987
200;3;6;39038
300;0;6;41341
300;1;6;67146
300;2;6;41277
300;3;6;41961
400;0;6;44042
400;1;6;43610
400;2;6;43643
400;3;6;41745
500;0;6;46632
500;1;6;44549
500;2;6;43707
500;3;6;45909
600;0;6;49290
600;1;6;48889
600;2;6;48029
600;3;6;47750
700;0;6;51436
700;1;6;48681
700;2;6;51556
700;3;6;50266
800;0;6;51830
800;1;6;52824
800;2;6;51683
800;3;6;53796
900;0;6;56294
900;1;6;53944
900;2;6;53292
900;3;6;54498
1000;0;6;57604
1000;1;6;58285
1000;2;6;58678
1000;3;6;57959
1100;0;6;61335
1100;1;6;61124
1100;2;6;56169
1100;3;6;59203
1200;0;6;61606
1200;1;6;64128
1200;2;6;62356
1200;3;6;64083
1300;0;6;66713
1300;1;6;64513
1300;2;6;63856
1300;3;6;66515
1400;0;6;68789
1400;1;6;65063
1400;2;6;69020
1400;3;6;69076
1500;0;6;71540
1500;1;6;65853
1500;2;6;70040
1500;3;6;71812
1600;0;6;73898
1600;1;6;66690
1600;2;6;74106
1600;3;6;73715
1700;0;6;76593
1700;1;6;70727
1700;2;6;74653
1700;3;6;76715
1800;0;6;79198
1800;1;6;73653
1800;2;6;74973
1800;3;6;76086
1900;0;6;78315
1900;1;6;77429
1900;2;6;81504
1900;3;6;81659
2000;0;6;82882
2000;1;6;81627
2000;2;6;81681
2000;3;6;81723
2100;0;6;85643
2100;1;6;80146
2100;2;6;84830
2100;3;6;83740
2200;0;6;88836
2200;1;6;80536
2200;2;6;89059
2200;3;6;88988
2300;0;6;91825
2300;1;6;86095
2300;2;6;85483
2300;3;6;92685
2400;0;6;89887
2400;1;6;89644
2400;2;6;94316
2400;3;6;91801
2500;0;6;96873
2500;1;6;91534
2500;2;6;89495
